111 1.11  0.195	0.205	0.215	0.225	0.235	0.245	0.255	0.265	0.275
   12     8.725	0.97684	0.97326	0.96849	0.96054	0.95556	0.94905	0.94222	0.93538	0.92950
   12     8.775	0.97690	0.97278	0.96842	0.96032	0.95534	0.94877	0.94228	0.93531	0.92914
   12     8.825	0.97684	0.97253	0.96834	0.96010	0.95518	0.94846	0.94228	0.93517	0.92878
   12     8.875	0.97666	0.97233	0.96802	0.95983	0.95493	0.94825	0.94222	0.93510	0.92861
   12     8.925	0.97642	0.97215	0.96785	0.95953	0.95477	0.94819	0.94197	0.93491	0.92844
   12     8.975	0.97623	0.97197	0.96783	0.95929	0.95453	0.94818	0.94162	0.93463	0.92818
   12     9.025	0.97596	0.97176	0.96787	0.95911	0.95438	0.94813	0.94125	0.93430	0.92791
   12     9.075	0.97555	0.97128	0.96791	0.95900	0.95408	0.94796	0.94100	0.93389	0.92764
   12     9.125	0.97538	0.97062	0.96770	0.95903	0.95370	0.94781	0.94073	0.93348	0.92733
   12     9.175	0.97554	0.96980	0.96742	0.95910	0.95335	0.94774	0.94049	0.93313	0.92699
   12     9.225	0.97581	0.96899	0.96716	0.95914	0.95302	0.94769	0.94031	0.93293	0.92667
   12     9.275	0.97589	0.96852	0.96668	0.95920	0.95271	0.94762	0.94021	0.93282	0.92631
   12     9.325	0.97606	0.96827	0.96611	0.95914	0.95249	0.94744	0.94005	0.93273	0.92610
   12     9.375	0.97618	0.96813	0.96549	0.95885	0.95217	0.94735	0.93991	0.93268	0.92592
   12     9.425	0.97615	0.96816	0.96512	0.95853	0.95168	0.94735	0.93972	0.93262	0.92582
   12     9.475	0.97592	0.96808	0.96495	0.95843	0.95118	0.94738	0.93954	0.93251	0.92576
   12     9.525	0.97556	0.96808	0.96474	0.95828	0.95088	0.94733	0.93935	0.93235	0.92566
   12     9.575	0.97523	0.96798	0.96460	0.95824	0.95060	0.94717	0.93917	0.93226	0.92560
   12     9.625	0.97531	0.96770	0.96438	0.95829	0.95023	0.94700	0.93900	0.93219	0.92550
   12     9.675	0.97558	0.96734	0.96406	0.95826	0.94987	0.94685	0.93897	0.93217	0.92539
   12     9.725	0.97580	0.96691	0.96376	0.95823	0.94968	0.94657	0.93890	0.93210	0.92506
   12     9.775	0.97593	0.96660	0.96349	0.95809	0.94951	0.94605	0.93886	0.93199	0.92459
   12     9.825	0.97610	0.96641	0.96312	0.95783	0.94943	0.94546	0.93881	0.93190	0.92431
   12     9.875	0.97609	0.96628	0.96267	0.95759	0.94932	0.94497	0.93875	0.93179	0.92409
   12     9.925	0.97586	0.96620	0.96246	0.95743	0.94937	0.94464	0.93862	0.93161	0.92394
   12     9.975	0.97550	0.96618	0.96219	0.95724	0.94930	0.94430	0.93852	0.93149	0.92390
   12    11.000	0.97468	0.96805	0.95490	0.95534	0.94807	0.93792	0.93526	0.92906	0.92110
   12    12.000	0.96719	0.96470	0.95846	0.94886	0.94578	0.93812	0.93121	0.92397	0.91873
   12    13.000	0.96497	0.95848	0.95615	0.95032	0.94041	0.93719	0.93113	0.92153	0.91573
   12    14.000	0.96264	0.95463	0.94965	0.94809	0.94220	0.93248	0.92943	0.92320	0.91455
   12    15.000	0.96271	0.95452	0.94394	0.94460	0.94161	0.93210	0.92418	0.92354	0.91560
   12    16.000	0.96469	0.95160	0.94298	0.93995	0.93772	0.92877	0.92368	0.92042	0.91407
   12    17.000	0.95768	0.95337	0.94431	0.93767	0.93321	0.92751	0.92338	0.91432	0.91086
   12    18.000	0.95379	0.95390	0.94718	0.93821	0.92857	0.92540	0.92105	0.91424	0.90685
   12    19.000	0.95735	0.94814	0.94996	0.93801	0.92898	0.92165	0.91972	0.91284	0.90461
   12    20.000	0.95636	0.94524	0.94865	0.94454	0.93155	0.91707	0.91862	0.91386	0.90614
  -12     0.025	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
  -12     0.075	0.00364	0.00307	0.00257	0.00213	0.00174	0.00140	0.00111	0.00086	0.00064
  -12     0.125	0.01744	0.01562	0.01395	0.01243	0.01104	0.00977	0.00861	0.00754	0.00657
  -12     0.175	0.03868	0.03563	0.03277	0.03007	0.02754	0.02518	0.02296	0.02089	0.01896
  -12     0.225	0.06172	0.05806	0.05447	0.05099	0.04762	0.04439	0.04130	0.03836	0.03557
  -12     0.275	0.08388	0.07987	0.07591	0.07200	0.06820	0.06450	0.06088	0.05736	0.05395
  -12     0.325	0.10524	0.10097	0.09669	0.09250	0.08836	0.08427	0.08029	0.07640	0.07259
  -12     0.375	0.12604	0.12150	0.11703	0.11255	0.10814	0.10377	0.09947	0.09526	0.09111
  -12     0.425	0.14633	0.14164	0.13696	0.13224	0.12763	0.12300	0.11846	0.11395	0.10953
  -12     0.475	0.16620	0.16138	0.15650	0.15166	0.14682	0.14196	0.13721	0.13248	0.12778
  -12     0.525	0.18565	0.18063	0.17573	0.17065	0.16564	0.16064	0.15570	0.15072	0.14585
  -12     0.575	0.20463	0.19948	0.19443	0.18930	0.18413	0.17894	0.17381	0.16873	0.16366
  -12     0.625	0.22309	0.21787	0.21270	0.20746	0.20219	0.19689	0.19159	0.18628	0.18110
  -12     0.675	0.24101	0.23579	0.23050	0.22514	0.21977	0.21437	0.20894	0.20352	0.19813
  -12     0.725	0.25845	0.25315	0.24779	0.24234	0.23687	0.23133	0.22582	0.22029	0.21476
