                                                                                
      ELECTRON NEUTRINO      ITHETA =  1                                        
     .16579E+04     .17022E+04     .16400E+04     .15867E+04     .15461E+04     
     .30001E+04     .26893E+04     .26311E+04     .24790E+04     .23676E+04     
     .22443E+04     .20830E+04     .20297E+04     .19134E+04     .19008E+04     
     .17495E+04     .16792E+04     .16343E+04     .16055E+04     .14500E+04     
     .13997E+04     .14544E+04     .12717E+04     .12699E+04     .12295E+04     
     .11518E+04     .11180E+04     .10459E+04     .10209E+04     .98435E+03     
     .18027E+04     .17216E+04     .15898E+04     .14976E+04     .13442E+04     
     .12930E+04     .11533E+04     .11058E+04     .10310E+04     .92934E+03     
     .96671E+03     .85200E+03     .77928E+03     .73496E+03     .75537E+03     
     .67371E+03     .69455E+03     .60730E+03     .57074E+03     .57332E+03     
     .50333E+03     .49418E+03     .44393E+03     .45213E+03     .38676E+03     
     .10348E+04     .88217E+03     .83974E+03     .76246E+03     .70034E+03     
     .56926E+03     .58266E+03     .47360E+03     .46921E+03     .39327E+03     
     .35354E+03     .31321E+03     .31590E+03     .26612E+03     .28382E+03     
     .22131E+03     .24561E+03     .19599E+03     .21030E+03     .21543E+03     
     .68787E+03     .47567E+03     .38202E+03     .34974E+03     .24851E+03     
     .18781E+03     .15616E+03     .13919E+03     .14035E+03     .97897E+02     
     .78149E+02     .64517E+02     .63149E+02     .67149E+02     .48000E+02     
     .41360E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA = 11                                        
     .70705E+03     .25826E+04     .40323E+04     .50722E+04     .60512E+04     
     .66142E+04     .69350E+04     .70502E+04     .71721E+04     .68208E+04     
     .63239E+04     .61969E+04     .58436E+04     .57456E+04     .56311E+04     
     .51872E+04     .50590E+04     .48868E+04     .46557E+04     .45167E+04     
     .43166E+04     .41911E+04     .39724E+04     .38686E+04     .36502E+04     
     .35002E+04     .33692E+04     .32186E+04     .31318E+04     .30773E+04     
     .30121E+04     .27728E+04     .26662E+04     .25784E+04     .25064E+04     
     .24750E+04     .23862E+04     .21956E+04     .22249E+04     .21475E+04     
     .20969E+04     .20286E+04     .19888E+04     .18114E+04     .17590E+04     
     .18299E+04     .17207E+04     .16389E+04     .16827E+04     .15454E+04     
     .28897E+04     .27289E+04     .27613E+04     .24796E+04     .23564E+04     
     .22688E+04     .21713E+04     .20425E+04     .19849E+04     .17992E+04     
     .17659E+04     .17374E+04     .15606E+04     .14773E+04     .14540E+04     
     .13528E+04     .12643E+04     .12807E+04     .11486E+04     .10708E+04     
     .10491E+04     .10437E+04     .10182E+04     .93177E+03     .90270E+03     
     .17003E+04     .16332E+04     .14889E+04     .13812E+04     .12317E+04     
     .12707E+04     .10558E+04     .95418E+03     .96778E+03     .93821E+03     
     .85645E+03     .79787E+03     .72442E+03     .65727E+03     .64019E+03     
     .62186E+03     .56695E+03     .58523E+03     .51682E+03     .52495E+03     
     .44953E+03     .41538E+03     .41888E+03     .40787E+03     .40020E+03     
     .86980E+03     .75632E+03     .71517E+03     .57938E+03     .54206E+03     
     .50262E+03     .45733E+03     .40372E+03     .37352E+03     .36727E+03     
     .31198E+03     .29216E+03     .25862E+03     .26315E+03     .21816E+03     
     .18798E+03     .16900E+03     .17167E+03     .16557E+03     .14974E+03     
     .46346E+03     .39262E+03     .31352E+03     .22859E+03     .19404E+03     
     .15953E+03     .12749E+03     .10250E+03     .70149E+02     .65486E+02     
     .58344E+02     .54000E+02     .52149E+02     .41000E+02     .26000E+02     
     .30800E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA = 12                                        
     .58304E+03     .22320E+04     .36371E+04     .46333E+04     .55737E+04     
     .63035E+04     .65272E+04     .67863E+04     .67736E+04     .64380E+04     
     .58500E+04     .56834E+04     .54346E+04     .51287E+04     .50820E+04     
     .48270E+04     .46215E+04     .44939E+04     .42291E+04     .40606E+04     
     .38490E+04     .37978E+04     .35784E+04     .33163E+04     .32922E+04     
     .31476E+04     .29917E+04     .29443E+04     .26474E+04     .27434E+04     
     .25253E+04     .23550E+04     .24207E+04     .22344E+04     .22190E+04     
     .21660E+04     .20453E+04     .19624E+04     .19244E+04     .17456E+04     
     .17559E+04     .16865E+04     .16711E+04     .15929E+04     .15712E+04     
     .14918E+04     .14629E+04     .13611E+04     .14242E+04     .13264E+04     
     .25846E+04     .24303E+04     .22325E+04     .20645E+04     .18968E+04     
     .19309E+04     .18534E+04     .16888E+04     .16047E+04     .15290E+04     
     .14241E+04     .14095E+04     .13038E+04     .12580E+04     .12031E+04     
     .11605E+04     .10353E+04     .10068E+04     .10113E+04     .90893E+03     
     .88482E+03     .82871E+03     .77410E+03     .77987E+03     .74788E+03     
     .13478E+04     .12731E+04     .12139E+04     .10820E+04     .97461E+03     
     .92756E+03     .84065E+03     .77259E+03     .75565E+03     .74854E+03     
     .64106E+03     .62414E+03     .59121E+03     .55745E+03     .49381E+03     
     .50380E+03     .43757E+03     .43229E+03     .41932E+03     .41345E+03     
     .36323E+03     .35483E+03     .29457E+03     .30735E+03     .27357E+03     
     .70053E+03     .62511E+03     .52494E+03     .44836E+03     .45967E+03     
     .39210E+03     .35379E+03     .32952E+03     .28126E+03     .25962E+03     
     .21289E+03     .20924E+03     .17046E+03     .18205E+03     .17341E+03     
     .14165E+03     .13307E+03     .11558E+03     .10965E+03     .12476E+03     
     .36912E+03     .26540E+03     .20588E+03     .18461E+03     .13191E+03     
     .10800E+03     .88172E+02     .84000E+02     .42000E+02     .51206E+02     
     .51000E+02     .33149E+02     .33000E+02     .17000E+02     .22000E+02     
     .23500E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA = 13                                        
     .39929E+03     .15464E+04     .26064E+04     .32652E+04     .38505E+04     
     .43630E+04     .45783E+04     .47258E+04     .47629E+04     .44315E+04     
     .41741E+04     .38359E+04     .37615E+04     .34622E+04     .33804E+04     
     .31892E+04     .30974E+04     .30276E+04     .28892E+04     .26880E+04     
     .26749E+04     .24997E+04     .23304E+04     .22685E+04     .21706E+04     
     .20639E+04     .20164E+04     .19167E+04     .18662E+04     .17283E+04     
     .17435E+04     .16324E+04     .16323E+04     .14684E+04     .15126E+04     
     .13979E+04     .14138E+04     .12899E+04     .12567E+04     .12804E+04     
     .11957E+04     .11651E+04     .11080E+04     .11379E+04     .10410E+04     
     .10431E+04     .97495E+03     .95176E+03     .90981E+03     .87626E+03     
     .17277E+04     .15806E+04     .15027E+04     .14585E+04     .13371E+04     
     .12381E+04     .12300E+04     .11913E+04     .10921E+04     .10711E+04     
     .98738E+03     .95013E+03     .87363E+03     .83479E+03     .81949E+03     
     .81109E+03     .73119E+03     .69950E+03     .66665E+03     .62193E+03     
     .58863E+03     .54802E+03     .53173E+03     .48993E+03     .50614E+03     
     .99089E+03     .89195E+03     .83530E+03     .76906E+03     .70087E+03     
     .66458E+03     .54952E+03     .58364E+03     .48854E+03     .46152E+03     
     .44978E+03     .40832E+03     .38176E+03     .35290E+03     .37476E+03     
     .32972E+03     .32699E+03     .30900E+03     .28297E+03     .25977E+03     
     .26538E+03     .21724E+03     .23427E+03     .21721E+03     .19360E+03     
     .45130E+03     .40243E+03     .38166E+03     .31393E+03     .29064E+03     
     .27348E+03     .26218E+03     .21536E+03     .20821E+03     .17330E+03     
     .14107E+03     .12773E+03     .13229E+03     .12597E+03     .11262E+03     
     .99799E+02     .92891E+02     .98454E+02     .65909E+02     .75528E+02     
     .22412E+03     .17094E+03     .14970E+03     .12189E+03     .99000E+02     
     .69367E+02     .56314E+02     .46168E+02     .50000E+02     .34000E+02     
     .31149E+02     .20000E+02     .21000E+02     .25000E+02     .16000E+02     
     .13100E+03                                                                 
                                                                                
      ELECTRON NEUTRINO      ITHETA = 14                                        
     .23618E+03     .88586E+03     .14608E+04     .18752E+04     .23746E+04     
     .26543E+04     .27937E+04     .28721E+04     .27212E+04     .25220E+04     
     .24163E+04     .22482E+04     .21536E+04     .20897E+04     .19408E+04     
     .19252E+04     .18219E+04     .16440E+04     .16347E+04     .15130E+04     
     .15588E+04     .14382E+04     .14113E+04     .13043E+04     .12885E+04     
     .12226E+04     .11693E+04     .11131E+04     .10091E+04     .10348E+04     
